0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
cxcon_25,0,0,0,1.0,1.0,0.0,0.0,0.05,0.07,0.0,0.04,0.09,0.0,0.0,1.0,1.0,0.0,0.0,1,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,11,255,11,0
cxcon_37,0,0,0,1.0,1.0,0.0,0.0,0.04,0.08,0.0,0.05,0.06,0.0,0.0,1.0,1.0,0.0,0.0,1,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,4,255,12,0
cxcon_127,0,0,0,1.0,1.0,0.0,0.0,0.07,0.06,0.0,0.06,0.08,0.0,0.0,1.0,1.0,0.0,0.0,1,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,15,255,15,0
cxcon_145,0,0,0,1.0,1.0,0.0,0.0,0.04,0.06,0.0,0.02,0.06,0.0,0.0,1.0,1.0,0.0,0.0,1,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,8,255,6,0
cxcon_166,0,0,0,1.0,1.0,0.0,0.0,0.04,0.07,0.0,0.07,0.08,0.0,0.0,1.0,1.0,0.0,0.0,1,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,9,255,17,0
cxcon_202,0,0,0,1.0,1.0,0.0,0.0,0.07,0.06,0.0,0.04,0.07,0.0,0.0,1.0,1.0,0.0,0.0,1,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,10,255,11,0
cxcon_286,0,0,0,1.0,1.0,0.0,0.0,0.02,0.06,0.0,0.02,0.07,0.0,0.0,1.0,1.0,0.0,0.0,1,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,4,255,4,0
cxcon_304,0,0,0,1.0,1.0,0.0,0.0,0.12,0.06,0.0,0.07,0.06,0.0,0.0,1.0,1.0,0.0,0.0,1,30,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,17,255,17,0
cxcon_325,0,0,0,1.0,1.0,0.0,0.0,0.09,0.06,0.0,0.05,0.06,0.0,0.0,1.0,1.0,0.0,0.0,1,55,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,12,255,12,0
cxcon_367,0,0,0,1.0,1.0,0.0,0.0,0.07,0.07,0.0,0.04,0.06,0.0,0.0,1.0,1.0,0.0,0.0,1,46,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,9,255,9,0
cxcon_382,0,0,0,1.0,1.0,0.0,0.0,0.05,0.05,0.0,0.05,0.05,0.0,0.0,1.0,1.0,0.0,0.0,1,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264,14,255,14,0
